NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
14531,"ALCOHOLIC BEV,WHISKEY SOUR",149,149,0,13.17,1.6,20,1,0,30.4,1 fl oz,106,"1 portion,  (2 oz mix + 1.5 oz whiskey)"
14027,"ALCOHOLIC BEV,WHISKEY SOUR,CND",119,119,0,13.4,1.6,44,0,0,30.8,1 fl oz,209,"1 can,  (6.8 fl oz, 200 ml)"
14029,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",153,153,0.06,12.82,1.6,61,1,0,30.4,1 fl oz,106,"1 portion,  (2 oz mix + 1.5 oz whiskey)"
14025,"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",164,164,0.1,15.85,0.4,47,46,0,29.4,1 fl oz,103,"1 packet,  prepared"
43154,"ALCOHOLIC BEV,WINE,COOKING",50,50,0.5,6.3,0,626,9,0,4.9,1 tsp,29,1 fl oz
14536,"ALCOHOLIC BEV,WINE,DSSRT,DRY",152,152,0.2,11.67,0,9,8,0,29.5,1 fl oz,103,"1 glass,  (3.5 fl oz)"
14057,"ALCOHOLIC BEV,WINE,DSSRT,SWT",160,160,0.2,13.69,0,9,8,0,29.5,1 fl oz,103,"1 glass,  (3.5 fl oz)"
43155,"ALCOHOLIC BEV,WINE,LT",49,49,0.07,1.17,0,7,9,0,29.5,1 fl oz,148,"1 serving,  5 fl oz"
14084,"ALCOHOLIC BEV,WINE,TABLE,ALL",83,83,0.07,2.72,0,5,8,0,148,"1 serving,  (5 fl oz)",29.5,1 fl oz
14096,"ALCOHOLIC BEV,WINE,TABLE,RED",85,85,0.07,2.61,0,4,8,0,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14101,"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",85,85,0.07,2.79,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14152,"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",86,86,0.07,3.69,,,,,29.5,1 fl oz,148,"1 serving,  5 fl oz"
14098,"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",83,83,0.07,2.45,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
14097,"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",83,83,0.07,2.6,,,,,29.4,1 fl oz,147,"1 serving,  (5 fl oz)"
