NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
23201,"BEEF,RIB EYE STK/RST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,AL GRD,RW",244,244,18.85,0,0,50,8,70,85,3 oz,361,1 steak
23194,"BEEF,RIB EYE STK/RST,BONE-IN,LIP-ON,LN & FAT,1/8"" FAT,SEL,RW",248,248,18.44,0,0,55,11,68,85,3 oz,471,1 steak
23150,"BEEF,RIB EYE STK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",166,166,21.22,0,0,64,9,64,85,3 oz,462,1 steak
13951,"BEEF,RIB EYE,SML END (RIBS 10-12),LN & FAT,0"",SEL,CKD,BRLD",234,234,27.95,0,0,59,22,92,85,3 oz,231,"1 steak,  (yield from 294 g raw meat)"
13284,"BEEF,RIB EYE,SML END (RIBS 10-12),LN,0"" FAT,SEL,RAW",149,149,21.17,0,0,52,10,60,85,3 oz,,
23233,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD",360,360,24.23,0,0,63,23,87,85,3 oz,1159,1 ribs
23236,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,ALL GRDS,RAW",324,324,16.15,0.78,0,53,10,75,85,3 oz,1587,1 ribs
23234,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",372,372,23.34,0,0,61,23,88,85,3 oz,1197,1 ribs
23237,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,CHOIC,RAW",336,336,15.75,0.9,0,53,9,76,85,3 oz,1604,1 ribs
23235,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,SEL,CKD,BRSD",341,341,25.56,0,0,64,24,85,85,3 oz,1102,1 ribs
23238,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,SEL,RAW",305,305,16.75,0.6,0,52,10,73,85,3 oz,1562,1 ribs
23180,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,CKD,BRSD",299,299,28.36,0,0,68,22,90,85,3 oz,1159,1 ribs
23181,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,RAW",239,239,19.11,0.46,0,60,9,70,85,3 oz,1587,1 ribs
23182,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,CHOIC,CKD,BRSD",306,306,27.75,0,0,68,22,91,85,3 oz,1197,1 ribs
23183,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,CHOIC,RAW",252,252,18.72,0.64,0,61,8,72,85,3 oz,1604,1 ribs
23184,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,SEL,CKD,BRSD",287,287,29.28,0,0,68,22,89,85,3 oz,1102,1 ribs
23185,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,SEL,RAW",221,221,19.71,0.2,0,59,9,67,85,3 oz,1562,1 ribs
13490,"BEEF,RIB,EYE,SML END (RIBS 10- 12) LN,0"" FAT,SEL,CKD,BRLD",182,182,29.93,0,0,63,21,95,85,3 oz,231,1 steak
13095,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW",274,274,17.51,0,0,56,10,68,28.35,1 oz,453.6,1 lb
13098,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",205,205,28.88,0,0,60,16,90,85,3 oz,236,"1 steak,  (yield from 297g raw meat)"
13097,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,RAW",161,161,20.13,0,0,63,10,59,28.35,1 oz,453.6,1 lb
13386,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,CHOIC,CKD,RSTD",372,372,22.8,0,0,64,10,85,85,3 oz,290,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13387,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,SEL,CKD,RSTD",331,331,23.48,0,0,65,9,84,85,3 oz,286,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13839,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",338,338,21.55,0,0,64,10,80,85,3 oz,267,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13840,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",355,355,23.01,0,0,64,10,85,85,3 oz,292,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13838,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW",316,316,16.26,0,0,55,8,71,28.35,1 oz,453.6,1 lb
13842,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",370,370,20.86,0,0,63,10,81,85,3 oz,267,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13843,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",378,378,22.5,0,0,63,10,85,85,3 oz,296,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13841,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW",333,333,16.03,0,0,54,8,72,28.35,1 oz,453.6,1 lb
13848,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",404,404,20.65,0,0,62,10,86,85,3 oz,278,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13849,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",393,393,22.86,0,0,64,10,85,85,3 oz,281,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13847,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",367,367,15.77,0,0,53,8,73,28.35,1 oz,453.6,1 lb
13845,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,BRLD",324,324,21.55,0,0,64,10,80,85,3 oz,267,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13846,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,RSTD",333,333,23.4,0,0,65,9,84,85,3 oz,292,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13844,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW",295,295,16.52,0,0,56,8,70,28.35,1 oz,453.6,1 lb
13388,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,ALL GRDS,CKD,RSTD",238,238,27.53,0,0,73,8,81,85,3 oz,214,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13389,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,CHOIC,CKD,RSTD",253,253,27.53,0,0,73,8,81,85,3 oz,207,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13390,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,SEL,CKD,RSTD",220,220,27.53,0,0,73,8,81,85,3 oz,217,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13149,"BEEF,RIB,SHORTRIBS,LN ONLY,CHOIC,RAW",173,173,19.05,0,0,65,8,59,28.35,1 oz,453.6,1 lb
13148,"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,CKD,BRSD",471,471,21.57,0,0,50,12,94,85,3 oz,225,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13147,"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW",388,388,14.4,0,0,49,9,76,28.35,1 oz,453.6,1 lb
13150,"BEEF,RIB,SHORTRIBS,LN,CHOIC,CKD,BRSD",295,295,30.76,0,0,58,11,93,121,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",85,3 oz
13391,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",249,249,27.27,0,0,56,20,89,85,3 oz,233,"1 steak,  (yield from 233 g raw meat)"
13392,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,CKD,BRLD",312,312,24.73,0,0,64,13,83,85,3 oz,272,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13393,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,SEL,CKD,BRLD",285,285,24.91,0,0,64,13,83,85,3 oz,265,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13851,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR",291,291,25.85,0,0,53,19,97,85,3 oz,268,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13852,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RS",341,341,22.54,0,0,63,13,83,85,3 oz,282,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13850,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",254,254,19.33,0,0,49,23,81,28.35,1 oz,453.6,1 lb
13854,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",304,304,24.53,0,0,49,16,94,85,3 oz,256,"1 steak,  (yield from 320 g raw meat)"
13855,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",359,359,22.28,0,0,63,13,83,85,3 oz,278,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13853,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW",263,263,19.09,0,0,48,24,80,28.35,1 oz,453.6,1 lb
13860,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",354,354,24.13,0,0,63,13,83,85,3 oz,268,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13861,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",411,411,22.15,0,0,65,13,84,85,3 oz,276,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13859,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW",335,335,16.74,0,0,53,10,70,28.35,1 oz,453.6,1 lb
13857,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",278,278,27.17,0,0,58,22,103,85,3 oz,245,"1 steak,  (yield from 1 raw steak weighing 321g)"
13858,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",323,323,22.76,0,0,64,13,83,85,3 oz,285,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13856,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW",246,246,19.56,0,0,49,22,85,85,3 oz,335,1 steak
13394,"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,ALL GRDS,CKD,BRLD",193,193,29.41,0,0,61,19,91,85,3 oz,233,"1 steak,  (yield from 296 g raw meat)"
13395,"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",225,225,28.04,0,0,69,13,80,85,3 oz,220,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13396,"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,SEL,CKD,BRLD",198,198,28.04,0,0,69,13,80,85,3 oz,220,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
23638,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,ALL GRDS,CKD,BRLD",195,195,29.58,0,0,62,19,87,28.35,1 oz,453.6,1 lb
23599,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,ALL GRDS,RAW",141,141,22.33,0,0,56,24,75,28.35,1 oz,453.6,1 lb
23623,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,CHOIC,RAW",148,148,22.12,0,0,57,28,68,28.35,1 oz,453.6,1 lb
23586,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,SEL,CKD,BRLD",188,188,30.87,0,0,66,22,98,28.35,1 oz,453.6,1 lb
23582,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,SEL,RAW",134,134,22.53,0,0,55,22,73,28.35,1 oz,453.6,1 lb
23626,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8""FAT,CHOIC,CKD,BRLD",202,202,28.29,0,0,58,16,88,28.35,1 oz,453.6,1 lb
13825,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",337,337,22.42,0,0,63,11,82,85,3 oz,267,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13826,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",351,351,22.77,0,0,64,11,84,85,3 oz,289,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13824,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",306,306,16.53,0,0,55,9,70,28.35,1 oz,453.6,1 lb
13828,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",352,352,22.26,0,0,63,11,82,85,3 oz,267,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13829,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",365,365,22.6,0,0,64,11,84,85,3 oz,289,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13827,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW",322,322,16.34,0,0,54,9,71,28.35,1 oz,453.6,1 lb
13834,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",386,386,21.95,0,0,62,11,85,85,3 oz,274,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13835,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",400,400,22.57,0,0,65,11,85,85,3 oz,278,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13833,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW",355,355,16.15,0,0,53,9,72,28.35,1 oz,453.6,1 lb
13831,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",315,315,22.73,0,0,64,11,81,85,3 oz,264,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13832,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",330,330,23.1,0,0,65,11,84,85,3 oz,289,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13830,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,RAW",288,288,16.75,0,0,55,9,70,28.35,1 oz,453.6,1 lb
23266,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED",246,246,24.66,1.53,0,86,7,76,85,3 oz,209,1 steak
23269,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",180,180,19.7,1.51,0,88,6,64,85,3 oz,256,1 steak
23267,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",259,259,24.24,1.81,0,86,7,78,85,3 oz,208,1 steak
23270,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",187,187,19.46,1.75,0,88,6,64,85,3 oz,249,1 steak
23268,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",226,226,25.28,1.1,0,79,6,73,85,3 oz,211,1 steak
23271,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,SEL,RAW",169,169,20.05,1.15,0,84,7,63,85,3 oz,267,1 steak
23272,"BEEF,RIBEYE FILET,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED",199,199,28.77,0.17,0,56,6,82,135,1 fillet,,
23273,"BEEF,RIBEYE FILET,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",208,208,28.35,0.51,0,56,6,82,138,1 fillet,,
23274,"BEEF,RIBEYE FILET,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",186,186,29.39,0,0,87,6,82,129,1 fillet,,
23263,"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,ALL GRDS,RAW",133,133,22.66,0.04,0,66,5,65,85,3 oz,164,1 fillet
23264,"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,CHOIC,RAW",138,138,22.52,0.18,0,66,5,65,85,3 oz,163,1 fillet
23265,"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,SEL,RAW",125,125,22.89,0,0,57,5,65,85,3 oz,167,1 fillet
23275,"BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD",178,178,28.15,0,0,55,6,85,85,3 oz,699,1 roast
23276,"BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",188,188,28,0,0,54,5,83,85,3 oz,714,1 roast
23277,"BEEF,RIBEYE PETITE RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD",164,164,28.37,0,0,84,6,89,85,3 oz,675,1 roast
13952,"BEEF,RIBEYE,SML END(RIBS 10-12),LN&FAT,0"",ALL GRDS,CKD,BRLD",249,249,27.27,0,0,56,20,89,85,3 oz,233,"1 steak,  (yield from 295 g raw meat)"
13414,"BEEF,RND,BTTM RND RST,LN,0"" FAT,SEL,CKD,RSTD",169,169,28.29,0,0,38,6,76,85,3 oz,464,"1 roast,  (yield from 572 g raw meat)"
23590,"BEEF,RND,BTTM RND RST,LN,1/8"" FAT,SEL,CKD,RSTD",164,164,28.45,0,0,38,6,74,28.35,1 oz,453.6,1 lb
13399,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",187,187,27.42,0,0,36,7,79,85,3 oz,489,"1 roast,  (yield from 600 g raw meat)"
13402,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",199,199,26.76,0,0,35,6,81,85,3 oz,515,"1 roast,  (yield from 627 g raw meat)"
13405,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",175,175,28.08,0,0,37,7,77,85,3 oz,464,"1 roast,  (yield from 572 g raw meat)"
13870,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",218,218,26.41,0,0,35,6,85,85,3 oz,338,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13873,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",223,223,26.05,0,0,34,6,86,85,3 oz,338,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13876,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",212,212,26.77,0,0,35,7,84,85,3 oz,338,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13408,"BEEF,RND,BTTM RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",177,177,27.76,0,0,36,6,77,85,3 oz,489,"1 roast,  (yield from 600 g raw meat)"
23604,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,CKD",163,163,28,0,0,37,6,76,28.35,1 oz,453.6,1 lb
23594,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,RAW",128,128,22.19,0,0,59,20,61,28.35,1 oz,453.6,1 lb
23619,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD",179,179,27.56,0,0,36,6,77,28.35,1 oz,453.6,1 lb
23618,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,CHOIC,RAW",140,140,22.22,0,0,56,19,62,28.35,1 oz,453.6,1 lb
23637,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,SEL,RAW",128,128,22.18,0,0,62,21,59,28.35,1 oz,453.6,1 lb
13398,"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD",223,223,33.56,0,0,44,8,95,85,3 oz,185,"1 steak,  (yield from 290 g raw meat)"
13401,"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",230,230,32.73,0,0,42,7,96,85,3 oz,191,"1 steak,  (yield from 299 g raw meat)"
13404,"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRSD",217,217,34.39,0,0,45,9,93,85,3 oz,179,"1 steak,  (yield from 281 g raw meat)"
13869,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRSD",247,247,32.76,0,0,43,8,100,85,3 oz,281,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
13868,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",192,192,20.7,0,0,56,20,73,28.35,1 oz,453.6,1 lb
13872,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD",254,254,32.85,0,0,42,7,101,85,3 oz,227,"1 steak,  (yield from 341 g raw meat)"
13871,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",198,198,20.71,0,0,53,16,75,28.35,1 oz,453.6,1 lb
13875,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",240,240,32.67,0,0,43,8,98,85,3 oz,226,"1 steak,  (yield from raw steak weighing 340g)"
13874,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",187,187,20.68,0,0,60,23,72,85,3 oz,312,1 steak
13407,"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRSD",214,214,34,0,0,44,7,93,85,3 oz,185,"1 steak,  (yield from 290 g raw meat)"
13410,"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,CHOIC,CKD,BRSD",223,223,33.08,0,0,43,7,95,85,3 oz,191,"1 steak,  (yield from 299 g raw meat)"
13413,"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,SEL,CKD,BRSD",206,206,34.93,0,0,46,7,91,85,3 oz,179,"1 steak,  (yield from 281 g raw meat)"
23605,"BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRSD",216,216,34.34,0,0,45,7,94,28.35,1 oz,453.6,1 lb
23622,"BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRSD",228,228,34.22,0,0,45,7,97,28.35,1 oz,453.6,1 lb
23593,"BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,SEL,CKD,BRSD",205,205,34.46,0,0,46,7,92,28.35,1 oz,453.6,1 lb
23352,"BEEF,RND,EYE OF RD STEAK,BNLESS,L & F,0"" FT,CHOIC,CK,GRLLED",163,163,29.79,0,0,67,17,76,85,3 oz,,
13415,"BEEF,RND,EYE OF RND RST,BNLESS,L & F,0"" FAT,A GRDS,CKD,RSTD",167,167,29.66,0,0,67,16,76,85,3 oz,346,"1 roast,  (yield from 436 g raw meat)"
23330,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",124,124,23.27,0,0,53,13,60,85,3 oz,675,1 roast
23331,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",127,127,23.26,0,0,52,13,58,85,3 oz,658,1 roast
13417,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD",162,162,29.45,0,0,63,16,79,85,3 oz,337,"1 roast,  (yield from 426 g raw meat)"
23332,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW",120,120,23.28,0,0,50,13,62,85,3 oz,699,1 roast
13416,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FT,0"" FAT,CHOIC,CKD,RSTD",171,171,29.79,0,0,66,16,74,85,3 oz,355,"1 roast,  (yield from 445 g raw meat)"
13418,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD",163,163,29.85,0,0,67,16,76,85,3 oz,346,"1 roast,  (yield from 436 g raw meat)"
23360,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW",121,121,23.37,0,0,53,13,60,85,3 oz,675,1 roast
13419,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",166,166,29.94,0,0,66,16,74,85,3 oz,355,"1 roast,  (yield from 445 g raw meat)"
23361,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,RAW",124,124,23.35,0,0,52,13,58,85,3 oz,658,1 roast
13420,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD",157,157,29.52,0,0,63,16,79,85,3 oz,337,"1 roast,  (yield from 426 g raw meat)"
23362,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,SEL,RAW",116,116,23.41,0,0,50,13,62,85,3 oz,699,1 roast
23334,"BEEF,RND,EYE OF RND STEAK,BNLESS LN & FAT,0"" FAT,CHOIC,RAW",127,127,23.24,0,0,52,13,58,85,3 oz,133,1 steak
23335,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",120,120,23.3,0,0,50,13,62,85,3 oz,151,1 steak
23333,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FT,0"" FAT,ALL GRDS,RAW",124,124,23.26,0,0,53,13,60,85,3 oz,140,1 steak
23363,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",121,121,23.37,0,0,53,13,60,85,3 oz,140,1 steak
23382,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",158,158,29.94,0,0,68,17,76,85,3 oz,,
23364,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",124,124,23.35,0,0,52,13,58,85,3 oz,133,1 steak
23383,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",149,149,29.52,0,0,65,16,81,85,3 oz,,
23365,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW",116,116,23.41,0,0,50,13,62,85,3 oz,151,1 steak
