No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
149,Saga biji tanpa kulit,449,30.6,31.9,7,8.1,1062,25.5,1 biji,0.22
150,Santan (kelapa + air),122,2,7.6,2,80,25,10,1 gelas,200
151,Santan (kelapa saja),324,4.2,55.6,2,54.9,14,34.3,1 sdm,5
152,Sari Kedelai bubuk,344,30,43,10,3,450,20,1 sdm,10
153,Susu Kedelai,41,3.5,5,2,87,50,2.5,1 gelas,200
154,Tahu,68,7.8,1.6,0,84.8,124,4.6,1 biji ,10
155,Taoco,166,10.4,24.1,0,64.4,55,4.9,1 sdm,10
156,Taokoa,104,12.9,1.2,0,78,153,6.8,1 potong,42
157,Tempe Gembus,73,5.7,4.2,0,81.9,204,1.3,1 potong,37
158,Tempe Kedelai Murni,149,18.3,12.7,0,64,129,4,1 potong,25
159,Tepung Hunkwee,364,4.5,83.5,0,10,50,1,1 sdm,10
160,Tepung Kacang Kedelai,347,35.9,29.9,0,9,195,20.6,1 sdm,6
161,Wijen,568,19.3,18.1,0,5.8,125,51.1,1 sdm,10
162,Abon,280,9.2,0,70,0,70,28.4,1 sdm,9
163,Angsa,354,16.4,0,0,51.1,15,31.5,1 potong,56.3
164,Ayam,302,18.2,0,0,55.9,14,25,1 potong,50
165,Babat,113,17.6,0,0,76.7,12,4.2,1 potong,30
166,Bebek (itik),326,16,0,0,54.3,15,28.6,1 potong,45
167,Corned Beef,241,16,0,0,53,10,25,1 sdm,22.5
168,Daging Anak Sapi,190,19.1,0,0,68,11,12,1 potong,35
169,Daging Asap,191,32,0,0,60,15,6,1 potong,20.3
170,Daging Babi Gemuk,457,11.6,0,0,42.6,7,45,1 potong,50
171,Daging Babi Kurus,376,14.1,0,0,50,8,35,1 potong ,25
172,Daging Domba,206,17.1,0,0,66.3,10,14.8,1 potong,24.4
173,Daging Kambing,154,16.6,0,0,70.3,11,9.2,1 potong,40
174,Daging Kerbau,84,18.7,0,0,84,7,0.5,1 potong,45
175,Daging Kuda,118,18.1,0.9,0,76,10,4.1,1 kg,1000
176,Daging Sapi,207,18.8,0,0,66,11,14,1 potong,50
177,Dendeng Daging Sapi,433,55,0,0,25,30,9,1 potong,15.6
178,Dideh darah ayam,77,13.8,0.7,0,82,15,1.9,1 potong,23.8
179,Dideh darah sapi,104,21.9,0,0,75.6,7,1.1,1 potong ,25
180,Empal Goreng,590,18.5,0,0,0,151,57,1 mangkok,47
181,Ginjal Babi,114,16.3,0.8,13,77.1,11,4.6,1 buah,85
182,Ginjal Domba,105,16.6,1,13,77.8,13,3.3,1 buah,30.6
183,Ginjal Sapi,141,15,0.9,13,74.9,9,8.1,1 potong,40
184,Ham,389,16.9,0.3,0,42,10,35,1 potong,9.4
185,Hati Babi,134,19.7,1.7,23,72.3,10,4.8,1 potong,69.3
186,Hati Sapi,136,19.7,6,31,69.7,7,3.2,1 potong,50
187,Kerupuk Kulit kerbau,422,83,0,0,15,5,4,1 buah,2.5
188,Lemak Babi (Bacon),630,9.1,1.1,0,30,13,65,1 potong ,5
189,Leverwost (sosis hati),387,16,3,0,76.7,20,22,1 potong,50
190,Otak,125,10.4,0.8,18,78.9,16,8.6,1 potong ,60
191,Sarang Burung,281,37.5,32.1,0,24.8,485,0.3,1 kg,1000
192,Usus Sapi,130,14,1.5,0,76.7,14,7.2,1 bulatan,25
193,Worst (sosis daging),452,14.5,2.3,0,37.6,28,42.3,1 potong,32
194,Telur Ayam,162,12.8,0.7,0,74,54,11.5,1 butir,60
195,Telur Ayam bagian kuning,361,19.3,0.7,0,49.4,147,31.9,1 buah,15
196,Telur Ayam bagian putih,50,10.8,0.8,0,87.8,6,0,1 buah,31
197,Telur Ayam ceplok,383,15.1,8.3,1.9,0,61.4,32.9,1 buah,58.4
198,Telur Ayam dadar,251,16.3,1.4,0,61.9,62,19.4,1 buah,56.8
199,Telur Bebek (itik),189,13.1,0.8,0,70.8,56,14.3,1 butir ,60
200,Telur Bebek bagian kuning,398,17,0.8,0,47,150,35,1 buah,30.8
201,Telur Bebek bagian putih,54,11,0.8,0,88,21,0,1 buah,35.7
202,Telur Bebek ceplok,320,15.1,0.9,0,0,64.4,30.5,1 buah,42
203,Telur Bebek dadar,301,20,0,0,55.1,71,23.7,1 buah,51.6
204,Telur Bebek telur asin,195,13.6,1.4,0,66.5,120,13.6,1 butir,66.4
205,Telur Penyu,144,12,0,0,76.6,84,10.2,1 butir,36.2
206,Telur Terubuk,425,31,10,0,25,50,28,1 potong,21.6
207,Cue Selar Kuning,145,27,0,0,59,50,2.3,1 ekor,15.8
208,Cumi-cumi goreng,265,40.6,0,0,54.2,62,10.1,1 ekor,64
209,Cumi-cumi segar,75,16.1,0.1,0,82.2,32,0.7,1 ekor,134
210,Ikan Asin bilis goreng,380,33.6,0,0,0,200,27.5,1 sdm,10
211,Ikan Asin gabus goreng,456,46.5,0,0,0,16,24.4,1 ekor,47
212,Ikan Asin japuh goreng,348,18.7,0,0,0,20.8,29.5,1 sdm,12
