No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
411,Toge seduh,28,3,4,2,91.9,52,0.8,1 sdm,15.4
412,Tomat Masak,20,1,4.2,40,94,5,0.3,1 buah ,43
413,Tomat Muda,23,2,2.3,30,93,5,0.7,1 buah,46.4
414,Tomat sari (juice),15,1,3.5,10,94,7,0.2,1 gelas,190
415,Wortel,42,1.2,9.3,6,88.2,39,0.3,1 buah ,27
416,Wortel kukus,37,1,8.3,4,89.5,44,0.6,1 gelas,100
417,Wortel rebus,28,0.7,6.3,2,92.1,46,0.5,1 gelas,100
418,Alpokat,85,0.9,7.7,13,84.3,10,6.5,1 biji ,100
419,Apel,58,0.3,14.9,5,84.1,6,0.4,1 buah,150
420,Arbei,37,0.8,8.3,60,89.9,28,0.5,1 buah,10
421,Asam masak di pohon,239,2.8,62.5,2,31.4,74,0.6,1 polong,8.6
422,Belimbing,36,0.4,8.8,35,90,4,0.4,1 buah ,125
423,Bengkuang,55,1.4,12.8,20,85.1,15,0.2,1 1 buah,164
424,Buah Atung,23,0.8,5.2,38,92,30,0.2,1 buah,4
425,Buah Mentega (bisbul),39,0.7,9.7,33,89,43,0.2,1 buah,159
426,Buah Nona,101,1.7,25.2,22,71.5,27,0.6,1 buah,147
427,Cempedak,116,3,28.6,15,67,20,0.4,1 biji,10
428,Duku,63,1,16.1,9,82,18,0.2,1 buah,8.9
429,Durian,134,2.5,28,53,65,7.4,3,1 biji ,17.5
430,Embacang,98,1.4,25.4,56,72.5,21,0.2,1 potong,22.7
431,Erbis,70,0.6,18.9,16,80,11,0,1 potong,320
432,Gandaria,68,0.7,18,111,80.8,8.5,0.1,1 buah,22
433,Jambu Air,46,0.6,11.8,5,87,7.5,0,1 buah,50
434,Jambu Biji,49,0.9,12.2,87,86,14,0.3,1 buah ,100
435,Jambu Bol,56,0.6,14.2,22,84.5,29,0.3,1 buah,100
436,Jambu Monyet buah,64,0.7,15.8,197,82.6,4,0.6,1 buah,25
437,Jeruk Bali,48,0.6,12.4,43,86.3,23,0.2,1 buah ,50
438,Jeruk Garut,44,0.8,10.9,31,87.3,33,0.3,1 buah,50
439,Jeruk Manis,45,0.9,11.2,49,87.2,33,0.2,1 buah,50
440,Jeruk Manis air (sari),44,0.8,11,49,87.5,19,0.2,1 gelas,200
441,Jeruk Nipis,37,0.8,12.3,27,86.6,40,0.1,1 buah,41
442,Kedondong masak,41,1,10.3,30,88,15,0.1,1 buah,60
443,Kemang,48,1,11.9,58,86.5,10,0.2,1 buah ,105
444,Kesemek,78,0.8,20,11,78.2,6.6,0.4,1 buah,128.2
445,Kokosan,86,1.6,13,3,85,20.2,0.2,1 buah,18
446,Langsat,56,0.9,14.3,3,84.1,17,0.2,1 buah,18
447,Mangga Gedong,44,0.7,11.2,9,87.4,13,0.2,1 buah,180.2
448,Mangga Golek,63,0.5,16.7,30,82.2,14,0.2,1 potong,49.2
449,Mangga Harum Manis,46,0.4,11.9,6,86.6,15,0.2,1 buah,469.4
450,Mangga Indramayu,72,0.8,18.7,16,80.2,13,0.2,1 buah,293.6
451,Mangga Kopek,56,0.4,14.6,27,84.5,16,0.2,1 potong,47.8
452,Mangga Muda,59,0.5,15.1,65,83.7,12,0.4,1 buah,172
453,Manggis,63,0.6,15.6,2,83,8,0.6,1 buah ,73
454,Menteng,65,1.7,16.1,5,79,13,0.2,1 buah,26.2
455,Nanas,52,0.4,13.7,24,85.3,16,0.2,1 buah,450
456,Nangka masak di pohon,106,1.2,27.6,7,70,20,0.3,1 biji,16.7
457,Pala daging,42,0.3,10.9,22,88.1,32,0.2,1 buah,33.5
458,Pepaya,46,0.5,12.2,78,86.7,23,0,1 potong,100
459,PIR,64.3,0.8,4037.5,382.5,0,0,0,1 buah,184
460,Pisang Ambon,99,1.2,25.8,3,72,8,0.2,1 buah,75
461,Pisang Angle,68,1.3,17.2,6,80.3,10,0.2,1 buah,74.4
462,Pisang Lampung,99,1.3,25.6,4,72.1,10,0.2,1 buah,63.2
463,Pisang Mas,127,1.4,33.6,2,64.2,7,0.2,1 buah,43.4
464,Pisang Oli,134,1.1,35.5,3,61.8,31,0.5,1 buah,65.2
465,Pisang Raja,120,1.2,31.8,10,65.8,10,0.2,1 buah,102.2
466,Pisang Raja Sere (Susu),118,1.2,31.1,4,67,7,0.2,1 buah,83
467,Pisang Raja Uli,146,2,38.2,3,59.1,10,0.2,1 buah ,50
468,Pisang Siam goreng,625,1,8.1,4.8,0,26.1,0,1 buah,75.6
469,Rambutan,69,0.9,18.1,58,80.5,16,0.1,1 buah,27.6
470,Rambutan Aceh,11,0,2.7,8.7,0,2.4,0,1 buah,21
471,Rambutan sinyonya,4,0,0.9,2.9,0,0.8,0,1 buah,94
472,Salak,77,0.4,20.9,2,78.6,28,0,1 buah ,75
473,Sawo,92,0.5,22.4,21,75.5,25,1.1,1 buah,50
474,Semangka,28,0.5,6.9,6,92.1,7,0.2,1 potong ,150
475,Sirsak,65,1,16.3,20,81.7,14,0.3,1 gelas,100
476,Srikaya,101,1.7,35.2,22,71.5,27,0.6,1 buah,147
477,Es Krim,207,4,20.6,1,62.1,123,12.5,1 cup,60
478,Keju,326,22.8,13.1,1,38.5,777,20.3,1 potong ,15
479,Kepala Susu (Krim),204,2.6,4,1,72.5,97,20,1 sdm,3.3
480,Mentega,725,0.5,1.4,0,16.5,15,81.6,1 sdt,5
481,Susu Ibu (ASI),65,1.1,7.7,2.7,0,35.3,3.5,1 gelas,200
482,Susu Kambing,64,4.3,6.6,1,85.9,98,2.3,1 gelas,200
483,Susu Kental Manis,336,8.2,55,1,25,275,10,1 gelas,200
484,Susu Kental Tak Manis,138,7,9.9,1,73.7,243,7.9,1 gelas,200
485,Susu Kerbau,160,6.3,7.1,1,73.8,216,12,1 gelas,200
486,Susu Sapi,61,3.2,4.3,1,88.3,143,3.5,1 gelas,200
487,Susu Skim (tak berlemak),36,3.5,5.1,1,90.5,123,0.1,1 sdm,5
488,Tepung Susu,509,24.6,36.2,6,3.5,904,30,1 sdm,5
489,Tepung Susu Asam untuk bayi,418,19,65.5,30,2.5,800,9,1 sdm,5
490,Tepung Susu Skim,362,35.6,52,7,3.5,1300,1,1 sdm,5
491,Yoghurt,52,3.3,4,0,88,120,2.5,1 gelas,200
492,Lemak Babi,902,0,0,0,0,0,100,1 potong ,5
493,Lemak Kerbau,818,1.5,0,0,5,0,90,1 potong,9
494,Margarine,720,0.6,0.4,0,15.5,20,81,1 sdm,10
495,Minyak Hati Hiu (Eulamia),902,0,0,0,0,0,100,1 sdm,10
496,Minyak Ikan,902,0,0,0,0,0,100,1 sdm,10
497,Minyak Kacang Tanah,902,0,0,0,0,0,100,1 sdm,10
498,Minyak Kelapa,870,1,98,0,0,0,1,1 sdm,10
499,Minyak Kelapa Sawit,902,0,0,0,0,0,100,1 sdm,7.2
500,Minyak Wijen,902,0,0,0,0,0,100,1 sdm,3.3
501,Agar-agar,0,0,0,0,17.2,400,0.2,1 potong,95
502,Bir (4% alkohol),48,0.6,4.4,0,90.2,4,0,1 gelas,210
503,Bonggol Pisang,43,2.6,11.6,12,86,15,0,1 potong,68.4
504,Bonggol Pisang kering,245,3.4,66.2,4,20,60,0,1 potong,52.4
505,Bulung Jajan,212,16.9,47.6,8,22,3033,0.2,1 kg,1000
506,Bulung Sangu,237,14.7,56,5,18,3774,0.2,1 kg,1000
507,Cengkeh Kering,292,5.2,57.4,0,23.3,740,8.9,1 sdm,10
508,Coklat Manis batang,472,2,62.7,0,1.4,63,29.8,1 potong,25
509,Coklat Pahit batang,504,5.5,29.2,0,2.3,98,52.9,1 potong,25
510,Coklat Susu batang,381,9,53.6,0,1,200,35,1 potong,25
511,Cuka,12,0.1,5,0,94.5,7,0.1,1 sdm,3.7
512,Daun Cincau,122,6,26,17,66,100,1,1 mangkok,38
513,Dodol,395,3,81.2,0,12,12,5.7,1 dodol,17
514,Gelatine,389,0,91,0,5,0,0,1 sdm,8.5
515,Gula Aren,368,0,95,0,9,75,0,1 buah,28.5
516,Gula Kelapa,386,3,76,0,10,76,10,1 buah,99.8
517,Gula Merah Tebu belum dimurnikan,356,0.4,90.6,0,7.4,51,0.5,1 kg,1000
518,Gula Pasir,364,0,94,0,5.4,5,0,1 sdm,8
519,Jahe,51,1.5,10.1,4,86.2,21,1,1 rimpang,29.4
520,Jam Selai,239,0.5,64.5,0,34,20,0.6,1 sdm,18.8
521,Katul Jagung,356,9,64.5,0,12,200,8.5,1 gelas,57.6
522,Kopi bagian yang larut,352,17.4,69,0,0,296,1.3,1 gelas,182
523,Kunyit,63,2,9.1,1,84.9,24,2.7,1 rimpang,49
524,Lemon Squasih,36,0,10,20,90,0,0,1 gelas,200
525,Lemonade,30,0,8,0,91,0,0,1 gelas,200
526,Madu,294,0.3,79.5,4,20,5,0,1 sdm,15
527,Melase,276,0,71,0,21.2,470,0.1,1 kg,1000
528,Merica,359,11.5,64.4,0,12.9,460,6.8,1 sdm,12.8
529,Ragi,136,43,3,0,10,140,2.4,1 buah,5
530,Saos Tomat,98,2,24.5,11,69.5,12,0.4,1sdm,10
531,Serbuk Coklat,298,8,48.9,0,3.9,125,23.8,1 sdm,7
532,Setrup sirup,213,0,55,0,44,0,0,1 gelas,200.4
533,Teh,132,19.5,67.8,0,7.6,717,0.7,1 sdm,3.7
534,Tempuyak,126,1.1,25.7,26,62.6,48,2.2,1 rimpang,26.8
535,Tepung Ikan,316,60.1,22.4,0,4.3,3196,6.5,1 sdm,4.9
536,Terasi Merah,174,30,3.5,0,44,100,3.5,1 potong,45
537,Bacang,102.9,3.3,16.3,0,47.9,0,2.7,1 potong,70
538,Bakso,76,4.1,9.2,1.8,83.6,14,2.5,1 porsi,250
539,Bakwan,272.5,4.3,21.8,0,54,0.1,18.8,1 potong,40
540,Bihun Goreng,154,3,25.5,0,65.6,0,4.5,1 buah,200
541,Bika Ambon,225.7,3,52.9,0,42.9,0,0.3,1 buah,70
542,Biskuit Mahal,350,8,54,0,0,162,11,1 buah,10
543,Biskuit Murah,260,5,86,0,0,53,1,1 sdm,10
544,Brondong,400,4,95.3,0,0,10,0.7,1 porsi,15
545,Bubur,60,1,13,0,0,2,60,1 buah,10
546,Buntil,106,4.4,7.9,110,78.2,225,6.3,1 buah,100
547,Buras,125.7,3.3,23.9,0,69.3,0,1.9,1 sdm,70
548,Combro,210,1.6,35.8,0,43.2,6.4,6.6,1 buah,50
549,Deblo,260,2,53,24,0,56.5,15,1 buah,20
550,Dodonkol,17.5,3.3,39.5,0,135,0,2.3,1 bungkus,40
551,Es Krim (Coconut milk),156.7,3,32.7,0,0,6.7,1.7,1 buah,30
552,Es Mambo,152,0,37.6,0,0,2,0,1 bungkus,25
553,Es Sirup,44.8,0,11.3,0,0,0.6,0,1 gelas,125
554,Gado-gado,135.3,5.8,16.4,0.1,72.5,14,5.8,1 porsi,150
555,Gemblong,287.5,6.5,52.8,0,23.5,0.2,6.5,1 buah,40
556,Getuk Lindri,171.4,4,32,0,61.1,0,4,1 potong,35
557,Gudeg,53,1.6,8.8,0,87.9,7.9,1.6,1 porsi,100
558,Jagung Rebus,175,1.8,35,0,0,4.8,1.8,1 bungkus,60
559,Jagung Sayur (tumis),148.9,10.4,20.1,0,0,8.7,10.4,1 sendok ,60
560,Jenang,381.7,9.5,65.8,0,18.8,0.1,9.5,1 buah,60
561,Kacang Kapri Goreng,445,11,65.5,0,2.5,0.1,11,1 bungkus,20
562,Kacang Sukro Putih,488,25.6,59.6,0,6.4,0,25.6,1 bungkus,25
563,Kacang Tanah Rebus,385,14,13,5,0,42,31,1 bungkus (1/3 gelas),20
564,Kacang Telur,748,20.8,124.8,0,7.2,0.1,20.8,1 bungkus,25
565,Karedok,146.7,5.9,19.7,1.1,68.5,0.1,5.9,1 porsi ,150
566,Karoket,292,11.2,2.8,0,40.4,0,11.2,1 buah,25
567,Kelepon,214,5.4,40.2,0,52.2,0,5.4,1 buah,12.5
568,Keremes,475,1.6,64.4,0,6.7,153,25.5,1 bungkus,100
569,Kerupuk Sayong,46.7,17.3,81.3,0,0,80,17.3,1 buah,15
570,Kerupuk Udang,340,30,52,0,0,298,30,1 buah,5
571,Ketapang,340,11,54,0,0,14,11,1 buah,10
572,Ketupat Tahu,109.6,2.6,18.6,0,74.8,0,2.6,1 porsi,250
573,Kripik Tempe Goreng,542,40.3,11.5,0,3.2,175,42.4,1 bungkus,100
574,Kue Apem,186.7,1.6,39.6,0,55.6,0,1.6,1 potong,45
575,Kue Bugis,240,1,54,0,41,11.5,4,1 buah,10
576,Kue Koya,366,4.2,7.9,0,13.2,153,4.3,1 bungkus,100
577,Kue mangkok,182,1,40.4,0,55.2,0,1,1 buah,50
578,Kue Pacar Cina,126.7,0.7,57.3,0,0,31,0.7,1 bungkus,30
579,Kue Pia,296,1.4,66.4,0,13.8,0.1,1.4,1 buah,50
580,Kue Satu,393.3,2.7,79.3,0,4.7,0.1,2.7,1 buah,15
581,Kue Semprong,380,1,92,0,5,0.1,1,1 buah,10
582,Kue Talam,180,5,32,0,61,0.1,5,1 buah,10
583,Kue Tambang,512,26,60.4,0,0.8,0,26,1 buah,5
584,Laksa,166.3,2.7,29.5,0,82.2,0.1,3.9,1 porsi,300
585,Lemper,221.3,3.8,43.4,0,60.9,0,3.6,1 buah,80
586,Leupeut Ketan,240,7.8,51.3,0.3,0,20.5,0.5,1 buah,40
587,Lopis,163.3,2.8,33,0,61.2,0,2.2,1 buah,60
588,Martabak ,265.3,4.7,49.3,0,40,0,5.5,1 potong,75
589,Martabak Telur,200,8.9,29.5,0,54.7,0.1,5.1,1 buah,100
590,Mie Goreng,468,7.6,62.4,2,0,22.4,20.4,1 piring ,25
591,Misro,218,0.8,50.2,0,31.2,0.1,16,1 buah,50
592,Nasi Goreng,276,3.2,30.2,0,0,4.8,3.2,1 piring ,50
593,Nasi Uduk,253.3,4.3,11.7,0,50.2,0,21,1 bungkus,60
594,Noga Kacang Tanah,600,14,42,0,1,0,41.7,1 buah,30
595,Oncom Goreng,363.3,19.3,40.3,0,31.3,0,19.3,1 buah,30
596,Oncom Hitam Goreng,284,12,13.6,0,0,115.6,14.4,1 potong,25
597,Oncom Hitam Goreng bertepung,306.7,9,27,0,0,7,18,1 potong,30
598,Oncom Merah Goreng,368,6.8,13.2,0,0,40,32,1 potong,25
599,Oncom Merah Goreng bertepung,320,7.3,31,0,0,34,18.7,1 potong,30
600,Oncom Merah Sayur (tumis),40,2,3,0.8,0,12,2,1 sdm,10
601,Onde-onde,288.6,8.3,44.3,0,38,0.1,8.9,1 buah,35
602,Ongol-ongol,115,1.5,14,0,78,0.1,6,1 buah,20
603,Opak Singkong,940,36,104,0,0,600,42,1 buah,5
604,Papais,133.8,3,27,0,0,0,1.6,1 buah,80
605,Pastel,222.2,5.8,34.9,0,40.4,0,17.1,1 buah,90
606,Permen,400,0,95,0,0,5,0,1 buah,2
607,Pilus,514,1,647,0,3.4,0,27.8,1 buah,50
608,Pisang Goreng,220,2.3,6.3,0,52.3,12,2.3,1 potong,60
609,Putu,210,3,37,0,53,0.1,6,1 buah,10
610,Putu Mayang,200,1,43.8,0,52.4,0,2.4,1 buah,12.5
611,Rarawuan,295,7.3,47.5,0,35.5,1.1,8.5,1 buah,40
612,Risoles,335,5.3,70.5,0,56.5,6.8,3.5,1 buah,40
613,Roti Gambang,350,7.5,75.5,0,13.5,23.5,2,1 buah,20
614,Sagu Ambon,338,0.6,83.1,0.1,15.5,16,0.3,1 sendok,15
615,Sate Kulit,110,15.5,11.5,0,70.5,0.1,0.5,1 porsi,20
616,Sate Usus,126.7,14,1.3,0,0,14,7.3,1 tusuk,15
617,Semur Jengkol,192.5,4.5,30.3,0,57.5,0.1,6,1 buah,10
618,Singkong Goreng,285,1,28,12,0,3.5,18,1 potong,20
619,Siomay,95.3,4.4,14.4,0,78.6,2.1,2.2,1 porsi,170
620,Soto dengan Dagingb),127.5,2.6,8.3,0.5,0,10.8,9.4,1 sendok ,80
621,Soto tanpa Daging,117.1,0.4,9.6,0.6,0,12.6,8.6,1 sendok ,70
622,Tahu Goreng,128,5.6,1.2,0,0,84.8,11.2,1 potong,25
623,Tempe Goreng,328,18.4,12.8,0,0,149.6,23.2,1 potong,25
624,Tempe Sayur,240,6,49.3,1.3,0,8,2.7,1 sdm,15
625,Toge Goreng,93.6,4.4,15.1,2.6,78.1,16.2,1.8,1 porsi,250
626,Ubi Jalar Goreng,160,3.7,55.3,8.7,0,40,1.3,1 potong,30
627,Ubi Jalar Rebus,113.8,1.4,25.5,10.2,0,27.7,9.5,1 potong,65
628,Ubi Jalar Sayur,183.3,1.3,22.5,5.5,0,8.5,0.3,1 sendok ,60
21377,MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK,122,8.82,6.08,9.7,77.38,46,22,1 item 11.3 oz,319
21233,MCDONALD'S CHEESEBURGER,263,12.97,27.81,0.6,45,167,35,1 item 4 oz,119
21232,MCDONALD'S FLT-O-FSH,282,11.26,26.39,0.3,45.76,120,32,1 sandwich,134
21360,MCDONALD'SBACON EGG & CHS BISCUIT,304,13.45,22.26,2.1,42.29,109,167,1 item 4.9 oz,142
21376,MCDONALD'SBACON RANCH SALAD W/ GRILLED CHICK,81,10.28,3.64,10.2,81.42,48,28,1 item 10.8 oz,305
21378,MCDONALD'SBACON RANCH SALAD WO/ CHICK,61,4.14,4.2,13.5,87.2,63,12,1 item 7.8 oz,223
21327,MCDONALD'SBACONEGG & CHS MCGRIDDLES,272,12.03,26.19,1.8,45.85,109,147,1 item 5.8 oz,165
21310,MCDONALD'SBARBEQUE SAU,165,1.55,36.93,0,57.68,11,0,1 package,28
21341,MCDONALD'SBIG BRKFST,285,10.16,17.5,0.4,50.68,51,173,1 item 9.5 oz,269
21237,MCDONALD'SBIG MAC,257,11.82,20.08,0.4,51.3,116,36,1 item 7.6 oz,219
21350,MCDONALD'SBIG MAC (WITHOUT BIG MAC SAUCE),234,12.79,21.01,0.4,52.76,124,35,1 item,200
21324,MCDONALD'SBKD APPL PIE,323,3.07,43.62,32.3,36.98,19,0,2.7 oz,77
21309,MCDONALD'SCHICK MCNUGGETS,302,15.79,15.09,1.2,47.13,11,44,4 pieces,64
21311,MCDONALD'SCREAMY RANCH SAU,468,1.11,3.49,0,41.36,29,21,1.5 oz,43
21363,MCDONALD'SDELUXE BRKFSTW/ SYRUP & MARGARINE,285,7.56,29.48,0.2,45.91,50,109,1 item 14.8 oz,420
21344,MCDONALD'SDOUBLE CHEESEBURGER,282,15.5,18.79,0.4,47,178,48,1 sandwich,155
21345,MCDONALD'SDOUBLE QUARTER POUNDER W/ CHS,262,16.96,14.43,0.6,50.34,106,57,1 item,280
21357,MCDONALD'SEGG MCMUFFIN,228,13.64,21.67,1.2,52.58,192,165,1 sandwich,126
21382,MCDONALD'SFILET-O-FISH (WITHOUT TARTAR SAUCE),243,12.47,31.08,0.1,46.9,128,25,1 item,124
21238,MCDONALD'SFRENCH FR,323,3.41,42.58,5.6,36.63,19,0,1 small serving,71
21380,MCDONALD'SFRUIT 'N YOGURT PARFAIT,105,2.73,20.72,13.9,74.61,86,5,1 item 5.2 oz,149
21381,MCDONALD'SFRUIT 'N YOGURT PARFAIT (WITHOUT GRANOLA),90,2.47,17.67,14.5,78.18,87,5,1 item,142
21228,MCDONALD'SHAMBURGER,264,12.92,30.28,0.6,44.53,127,27,1 sandwich,95
21319,MCDONALD'SHASH BROWN,271,2.48,28.56,5.6,50.42,19,0,1 serving 1 patty,53
21335,MCDONALD'SHOT CARAMEL SUNDAE,188,3.58,33.36,0,57.27,127,16,1 item (6.4 oz),182
21336,MCDONALD'SHOT FUDGE SUNDAE,186,4.14,30.05,0,58.81,139,13,1 item (6.3 oz),179
21313,MCDONALD'SHOT MUSTARD SAU,190,2.6,29.08,0,58.65,32,0,1 package,28
21364,MCDONALD'SHOTCAKES & SAUSAGE,294,7.81,37.55,0,40.7,78,19,1 item,192
21321,MCDONALD'SHOTCAKES (PLAIN),228,6,38.27,0,48.24,84,13,3 hotcakes 5.3 oz,149
21365,MCDONALD'SHOTCAKES (WITH 2 PATS MARGARINE & SYRUP),272,4.05,46.08,0,40.6,57,9,1 item,221
21343,MCDONALD'SLOFAT CARAMEL SAU,313,1.89,71.53,0,22.5,71,12,.8 oz,21
21355,MCDONALD'SMCCHICKEN SNDWCH,273,10.43,27.97,0,46.11,88,27,1 sandwich,131
21356,MCDONALD'SMCCHICKEN SNDWCH (WITHOUT MAYONNAISE),240,11.08,30.95,0.9,47.43,96,22,1 item,138
21338,MCDONALD'SMCFLURRY W/ M&M'S CANDIES,177,4.02,26.82,0,61.74,135,16,1 regular (12 fl oz),348
21339,MCDONALD'SMCFLURRY W/ OREO COOKIES,165,3.97,25.55,0,63.9,129,15,1 regular (12 fl oz),337
21346,MCDONALD'SNEWMAN'S OWN COBB DRSNG,196,1.69,15.49,0.5,66.41,50,13,2 fl oz,62
21347,MCDONALD'SNEWMAN'S OWN CREAMY CAESAR DRSNG,319,3.56,6.85,0,54.9,104,35,2 fl oz,59
21348,MCDONALD'SNEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE,86,0.19,24.65,4,66.05,8,0,2 fl oz,47
21349,MCDONALD'SNEWMAN'S OWN RANCH DRSNG,313,2.62,16.75,0.8,51.35,77,32,2 fl oz,56
21337,MCDONALD'SPNUTS (FOR SUNDAES),640,28.04,16.23,0,0.56,46,0,.3 oz,7
21403,MCDONALD'SPREMIUM CRISPY CHICK CLASSIC SNDWCH,228,12.08,25.46,2.5,51.98,34,26,1 item,230
21405,MCDONALD'SPREMIUM CRISPY CHICK CLUB SNDWCH,250,15.38,22.61,3.8,48.02,92,38,1 item 9 oz,254
21407,MCDONALD'SPREMIUM CRISPY CHICK RANCH BLT SNDWCH,244,14.7,24.93,4.3,48.61,35,30,1 item 8.5 oz,240
21402,MCDONALD'SPREMIUM GRILLED CHICK CLASSIC SNDWCH,183,14.16,22.28,3.2,57.3,37,34,1 item 7 oz,200
21404,MCDONALD'SPREMIUM GRILLED CHICK CLUB SNDWCH,221,17.19,19.87,4.4,52.52,95,46,1 item 7.9 oz,223
21406,MCDONALD'SPREMIUM GRILLED CHICK RANCH BLT SNDWCH,204,16.7,21.91,4.9,53.61,38,38,1 item 7.1 oz,202
21234,MCDONALD'SQUARTER POUNDER,244,14.1,22.17,0.9,50.37,84,39,1 item,171
21235,MCDONALD'SQUARTER POUNDER W/ CHS,258,14.59,19.95,0.8,48.9,144,47,1 item 7.1 oz,199
21523,MCDONALD'SRANCH SNACK WRAPCRISPY,275,11.48,23.22,0.3,47.88,88,0,1 wrap,133
21524,MCDONALD'SRANCH SNACK WRAPGRILLED,222,13.77,18.43,0.4,55.17,93,0,1 wrap,123
21361,MCDONALD'SSAUSAGE BISCUIT,376,9.62,27.2,0,34.71,55,29,1 item 4.1 oz,117
21362,MCDONALD'SSAUSAGE BISCUIT W/ EGG,311,11.27,19.28,0,44.62,58,152,1 item 5.7 oz,163
21340,MCDONALD'SSAUSAGE BURRITO,277,11.1,22.97,0,47.55,132,137,1 burrito,109
21328,MCDONALD'SSAUSAGE MCGRIDDLES,312,8.41,31.25,0,40.11,63,24,1 item,135
21358,MCDONALD'SSAUSAGE MCMUFFIN,333,12.66,24.52,0,38.94,224,39,1 item 4 oz,115
21359,MCDONALD'SSAUSAGE MCMUFFIN W/ EGG,274,12.59,17.28,0,49.96,172,154,1 item 5.8 oz,165
21329,MCDONALD'SSAUSAGEEGG & CHS MCGRIDDLES,283,10.77,22.04,0,47.03,96,132,1 item 7 oz,199
21379,MCDONALD'SSIDE SALAD,20,1.03,4.3,15.7,93.93,24,0,1 item 3.1 oz,87
21522,MCDONALD'SSOUTHERN STYLE CHICK BISCUIT,304,11.93,30.56,0.7,39.4,44,0,1 biscuit  regular size biscuit,132
21314,MCDONALD'SSPICY BUFFALO SAU,142,0.54,1.81,0,76,9,0,1.5 oz,43
21334,MCDONALD'SSTRAWBERRY SUNDAE,158,3.19,28.09,1.5,64.02,110,13,1 item (6.3 oz),178
21315,MCDONALD'SSWT 'N SOUR SAU,170,0.66,39.38,1.2,57.37,6,0,1 package,28
21316,MCDONALD'STANGY HONEY MUSTARD SAU,167,1.32,28.81,0,63,23,0,1.5 oz,43
21419,KFCBISCUIT,358,7.5,43.55,0,28.4,55,1,1 biscuit,49
21420,KFCCOLESLAW,144,0.91,15.65,14.6,73.99,28,2,1 package,112
21421,KFCCRISPY CHICK STRIPS,274,20.25,13.66,0,47.93,25,51,1 strip,47
21438,KFCFRIED CHICKEX CRISPYBREASTMEAT & SKN W/ BREADING,268,21.24,8.47,0,51.42,27,76,1 breast with skin,212
21430,KFCFRIED CHICKEX CRISPYBREASTMEAT ONLYSKN & BRDING RMVD,153,27.25,0.25,0,65.71,20,87,1 breast without skin,140
21439,KFCFRIED CHICKEX CRISPYDRUMSTKMEAT & SKN W/ BREADING,274,20.62,7.96,0,51.44,25,109,1 drumstick with skin,81
21431,KFCFRIED CHICKEX CRISPYDRUMSTKMEAT ONLYSKN & BRDNG RMVD,170,25.9,0,0,64.78,16,137,1 drumstick bone and skin removed,41
21429,KFCFRIED CHICKEX CRISPYSKN & BREADING,464,10.96,22.54,0,26.98,41,59,0,0
21440,KFCFRIED CHICKEX CRISPYTHIGHMEAT & SKN W/ BREADING,309,17.17,10.3,0,47.99,30,91,1 thigh with skin,152
21432,KFCFRIED CHICKEX CRISPYTHIGHMEAT ONLYSKN & BRDING RMVD,179,22.41,0,0,65.68,21,118,1 thigh without skin,91
21441,KFCFRIED CHICKEX CRISPYWINGMEAT & SKN W/ BREADING,337,20.8,11.66,0,41.91,35,107,1 wing with skin,68
21433,KFCFRIED CHICKEX CRISPYWINGMEAT ONLYSKN & BRDING REMOVD,236,28.67,2.97,0,53.85,30,146,1 wing without skin,44
21434,KFCFRIED CHICKORIGINAL RECIPEBREASTMEAT & SKN W/ BRDING,231,21.94,6.28,0,56.16,33,81,1 breast with skin,212
21425,KFCFRIED CHICKORIGINAL RECIPEBREASTMEAT NLYSKN BRDNG RD,149,26.89,0,0,66.44,25,96,1 breast without skin,152
21435,KFCFRIED CHICKORIGINAL RECIPEDRUMSTKMEAT & SKN W/ BRDING,239,22.3,5.39,0,55.6,29,117,1 drumstick with skin,75
21426,KFCFRIED CHICKORIGINAL RECIPEDRUMSTKMEAT ONLYSKN BRG RD,175,26.3,0.11,0,63.77,16,137,1 drumstick bone and skin removed,40
21424,KFCFRIED CHICKORIGINAL RECIPESKN & BREADING,384,14.17,18.79,0,35.52,117,82,0,0
21436,KFCFRIED CHICKORIGINAL RECIPETHIGHMEAT & SKN W/ BREADING,269,18.9,8.46,0,52.09,64,104,1 thigh with skin,135
21427,KFCFRIED CHICKORIGINAL RECIPETHIGHMEAT ONLYSKN BRDNG RD,175,22.78,0.01,0,65.65,20,122,1 thigh without skin,86
21437,KFCFRIED CHICKORIGINAL RECIPEWINGMEAT & SKN W/ BREADING,297,21.7,9.93,0,46.4,77,113,1 wing with skin,60
21428,KFCFRIED CHICKORIGINAL RECIPEWINGMEAT ONLYSKN BRDNG RD,216,28.65,1.76,0,56.44,40,141,1 wing wing without skin,39
21422,KFCPOPCORN CHICK,351,17.67,21.18,0,35.62,32,40,1 piece,6.4
21271,"PIZZA HUT 12"" CHS PIZZAHAND-TOSSED CRUST",271,11.93,31.22,0,43.29,209,24,1 slice,96
21272,"PIZZA HUT 12"" CHS PIZZAPAN CRUST",280,11.73,29.93,0,43.4,208,21,1 slice,100
21273,"PIZZA HUT 12"" CHS PIZZATHIN 'N CRISPY CRUST",303,15.29,28.64,0,38.77,278,34,1 slice,69
